CustomerID,Gender,Age,City,Signup Date,Purchase Date,Product,Quantity,Sales,Payment Mode,Frequency,Recency,Monetary,Customer Lifetime Value,Churn
CUST_00646,Female,68.0,Dallas,2021-11-08,2023-10-23,Headphones,4,600,PayPal,4,70,1700,2368.25,0
CUST_04490,Female,19.0,Los Angeles,2020-07-16,2021-01-04,Tablet,2,800,PayPal,2,113,1600,2517.31,0
CUST_02854,Female,32.0,San Antonio,2022-01-07,2022-02-13,Tablet,4,1600,Bank Transfer,7,23,8750,9914.04,0
CUST_04497,Female,53.0,San Diego,2021-12-05,2023-05-26,Smartphone,4,3200,PayPal,3,220,7200,13487.85,1
CUST_00697,Male,51.0,San Diego,2020-11-06,2021-11-03,Smartwatch,2,500,Debit Card,1,789,500,1177.74,1
CUST_01777,Female,56.0,Los Angeles,2020-10-01,2022-12-01,Keyboard,3,300,Credit Card,5,217,4100,7305.74,1
CUST_02751,Male,46.0,San Jose,2020-10-13,2021-04-19,Monitor,1,300,Bank Transfer,4,661,5150,12095.4,1
CUST_00605,Male,41.0,Houston,2020-06-26,2022-05-10,Keyboard,1,100,Debit Card,5,379,4650,11495.01,1
CUST_03421,Female,26.0,Chicago,2022-03-24,2022-07-15,Smartphone,4,3200,PayPal,3,188,4950,6860.91,1
CUST_01431,Male,30.0,Dallas,2020-09-12,2023-10-08,Tablet,2,800,Credit Card,2,85,1400,2701.01,0
CUST_02047,Male,36.0,Phoenix,2021-03-22,2021-06-02,Tablet,3,1200,Credit Card,3,95,2100,3274.89,0
CUST_00532,Other,62.0,Phoenix,2021-06-16,2023-08-20,Headphones,2,300,UPI,7,84,2400,4045.3,0
CUST_03670,Male,41.0,Dallas,2020-07-31,2021-05-05,Smartphone,2,1600,PayPal,5,235,4200,9339.53,1
CUST_00570,Male,57.0,San Diego,2021-09-30,2023-03-23,Laptop,4,4800,Bank Transfer,3,284,7300,14893.48,1
CUST_03754,Female,59.0,Houston,2021-11-30,2023-10-25,Keyboard,1,100,UPI,5,68,9050,20575.38,0
CUST_00789,Male,56.0,Dallas,2020-03-16,2021-03-07,Smartphone,1,800,Credit Card,5,478,3550,8347.65,1
CUST_00578,Female,21.0,Phoenix,2020-09-04,2023-12-28,Mouse,3,150,PayPal,4,4,3550,8261.97,0
CUST_00008,Female,37.0,San Antonio,2020-06-27,2022-07-04,Headphones,3,450,Debit Card,7,500,5250,12141.39,1
CUST_00380,Male,24.0,Philadelphia,2021-10-04,2023-05-21,Smartwatch,2,500,Debit Card,4,101,1850,4473.39,0
CUST_03110,Female,36.0,San Jose,2021-10-24,2022-08-18,Laptop,1,1200,PayPal,3,501,4400,6967.31,1
CUST_04232,Female,58.0,Phoenix,2022-02-19,2023-10-26,Mouse,4,200,Debit Card,6,41,2350,5800.25,0
CUST_00602,Male,26.0,Phoenix,2021-07-03,2021-08-24,Mouse,3,150,Bank Transfer,5,80,3150,5635.23,0
CUST_04075,Female,49.0,Houston,2022-11-04,2023-04-20,Smartphone,1,800,Bank Transfer,1,256,800,1585.4,1
CUST_03608,Male,47.0,Los Angeles,2021-02-17,2022-05-22,Smartphone,1,800,Bank Transfer,1,589,800,1117.03,1
CUST_00606,Male,52.0,San Antonio,2021-07-25,2022-09-27,Smartphone,3,2400,PayPal,6,261,8900,15928.02,1
CUST_03404,Male,56.0,New York,2022-08-28,2023-05-21,Laptop,3,3600,Debit Card,4,58,6050,12553.76,0
CUST_00074,Female,28.0,San Antonio,2021-10-08,2022-10-20,Laptop,2,2400,UPI,5,78,4400,9863.24,0
CUST_02871,Female,50.0,Houston,2022-01-15,2023-09-25,Smartphone,4,3200,Debit Card,3,98,3950,9558.27,0
CUST_01385,Female,40.0,Houston,2020-10-08,2021-08-25,Smartphone,3,2400,PayPal,3,635,5900,11805.95,1
CUST_03559,Male,63.0,Los Angeles,2020-12-03,2023-10-20,Smartwatch,4,1000,Debit Card,7,73,3000,7483.86,0
CUST_04352,Female,33.0,Houston,2020-08-27,2020-11-10,Laptop,3,3600,PayPal,4,515,9150,11389.99,1
CUST_04114,Male,68.0,New York,2020-03-28,2021-02-06,Keyboard,4,400,Debit Card,5,405,3750,4260.29,1
CUST_00277,Female,33.0,New York,2022-11-02,2023-03-24,Laptop,1,1200,Credit Card,4,67,1950,4062.78,0
CUST_03493,Female,39.0,Los Angeles,2020-04-20,2023-03-03,Mouse,4,200,Debit Card,3,304,550,1121.79,1
CUST_01603,Male,58.0,Houston,2022-01-29,2022-08-23,Keyboard,4,400,Bank Transfer,5,14,3150,7553.22,0
CUST_04150,Female,50.0,Dallas,2022-11-19,2023-09-12,Keyboard,3,300,Debit Card,2,111,600,693.09,0
CUST_04198,Male,39.0,Philadelphia,2021-12-02,2022-04-16,Headphones,3,450,Bank Transfer,3,181,3350,4406.79,1
CUST_01571,Female,20.0,San Diego,2021-11-02,2022-03-09,Smartphone,1,800,Bank Transfer,6,17,3000,5184.51,0
CUST_00568,Male,56.0,San Jose,2020-08-09,2023-04-15,Tablet,1,400,UPI,6,261,4000,6405.71,1
CUST_00571,Female,62.0,Dallas,2022-02-07,2023-05-15,Laptop,2,2400,Debit Card,5,134,10750,19655.63,0
CUST_02432,Female,53.0,Phoenix,2021-08-19,2022-11-15,Mouse,4,200,Credit Card,7,77,4650,7790.75,0
CUST_01722,Male,56.0,Phoenix,2022-09-18,2023-12-20,Mouse,1,50,UPI,4,12,4450,6356.82,0
CUST_02185,Female,31.0,New York,2021-09-23,2021-10-15,Mouse,4,200,PayPal,4,30,4300,5122.53,0
